repo,api_type,response_time_ms,response_size_bytes,num_requests,status,error_message
github/copilot-docs,GraphQL,1546.4632000075653,8432,1,success,
rust-lang/rust,GraphQL,2450.991899939254,41622,1,success,
trekhleb/javascript-algorithms,REST,7085.096799884923,1456935,5,success,
reduxjs/redux,REST,5675.2777001820505,563277,5,success,
django/django,REST,6285.523900063708,1426382,5,success,
d3/d3,GraphQL,1635.1015000836924,13936,1,success,
github/copilot-docs,GraphQL,1650.2627999288961,8432,1,success,
freeCodeCamp/freeCodeCamp,REST,6262.872199877165,1757225,5,success,
jwasham/coding-interview-university,GraphQL,1815.137500059791,22290,1,success,
angular/angular,GraphQL,1985.156900016591,39313,1,success,
facebook/react-native,REST,7256.7183000501245,1653288,5,success,
996icu/996.ICU,GraphQL,1231.843600049615,9342,1,success,
denoland/deno,GraphQL,2451.2699000770226,34245,1,success,
freeCodeCamp/freeCodeCamp,GraphQL,2104.3553999625146,39005,1,success,
pytorch/pytorch,REST,7046.14120000042,1636017,5,success,
torvalds/linux,REST,4640.1987000135705,241405,5,success,
tensorflow/tensorflow,REST,6063.530699932016,1440126,5,success,
rust-lang/rust,REST,6638.021199847572,1791837,5,success,
MarlinFirmware/Marlin,REST,5877.853699959815,1639851,5,success,
tensorflow/tensorflow,REST,5827.085700002499,1440126,5,success,
laravel/laravel,GraphQL,1311.1717000138015,10217,1,success,
nodejs/node,GraphQL,2086.827499908395,38624,1,success,
ohmyzsh/ohmyzsh,GraphQL,2595.9755000658333,36082,1,success,
d3/d3,REST,5785.741899861023,560341,5,success,
facebook/react,REST,6475.937200128101,1669106,5,success,
NVIDIA/DeepLearningExamples,REST,6703.692900016904,1633363,5,success,
golang/go,GraphQL,2047.6531999884173,37324,1,success,
lodash/lodash,REST,6463.159299921244,1077084,5,success,
microsoft/PowerToys,REST,7725.975100067444,1965540,5,success,
EbookFoundation/free-programming-books,GraphQL,1887.0665000285953,30691,1,success,
laravel/laravel,REST,5419.998299796134,264152,5,success,
microsoft/vscode,GraphQL,2486.375799984671,37170,1,success,
twbs/bootstrap,GraphQL,2102.0057999994606,36293,1,success,
NVIDIA/DeepLearningExamples,GraphQL,2069.8682999936864,34555,1,success,
d3/d3,REST,6011.364199919626,560341,5,success,
kubernetes/kubernetes,REST,6755.3899000631645,2236738,5,success,
lodash/lodash,REST,6516.178700025193,1077084,5,success,
pallets/flask,GraphQL,1470.7096000202,11875,1,success,
openai/gpt-3,REST,5428.798400098458,42841,5,success,
EbookFoundation/free-programming-books,REST,6483.332100207917,1719236,5,success,
ant-design/ant-design,GraphQL,2160.74479999952,36042,1,success,
996icu/996.ICU,GraphQL,1286.4165999926627,9342,1,success,
kubernetes/kubernetes,GraphQL,2274.938900023699,40305,1,success,
prettier/prettier,REST,6253.8989001186565,1595316,5,success,
rust-lang/rust,REST,6857.80330025591,1792041,5,success,
flutter/flutter,GraphQL,3122.995699988678,41063,1,success,
lodash/lodash,GraphQL,2333.8004000252113,29265,1,success,
huggingface/transformers,REST,6468.13850000035,1678299,5,success,
openai/gpt-3,GraphQL,1088.4087999584153,2300,1,success,
neovim/neovim,GraphQL,2839.039499987848,34550,1,success,
nodejs/node,REST,6639.308800105937,1644984,5,success,
facebook/jest,GraphQL,1762.7757000736892,30545,1,success,
freeCodeCamp/freeCodeCamp,GraphQL,2030.8169999625534,39005,1,success,
angular/angular,REST,6278.048300067894,1722535,5,success,
trekhleb/javascript-algorithms,REST,6517.846399918199,1456935,5,success,
getify/You-Dont-Know-JS,GraphQL,1224.7483999235556,9383,1,success,
kamranahmedse/developer-roadmap,GraphQL,2602.65839996282,32103,1,success,
openai/gpt-3,GraphQL,1080.3141000214964,2300,1,success,
vuejs/vue,REST,6358.138200012036,1445498,5,success,
kamranahmedse/developer-roadmap,GraphQL,2225.240399944596,32143,1,success,
ohmyzsh/ohmyzsh,GraphQL,2108.80700009875,36082,1,success,
torvalds/linux,REST,4947.473599924706,241405,5,success,
torvalds/linux,GraphQL,1353.4776999149472,9691,1,success,
ohmyzsh/ohmyzsh,GraphQL,2299.086300074123,36082,1,success,
kubernetes/kubernetes,GraphQL,2358.0102999694645,40305,1,success,
denoland/deno,REST,6646.324000088498,1422969,5,success,
microsoft/vscode,GraphQL,2975.2154999878258,37170,1,success,
reduxjs/redux,GraphQL,1631.3121999846771,18639,1,success,
ant-design/ant-design,GraphQL,3106.6441000439227,35767,1,success,
donnemartin/system-design-primer,REST,8743.647799827158,1515735,5,success,
pytorch/pytorch,GraphQL,2857.651099911891,41008,1,success,
facebook/react,GraphQL,2428.990999935195,38190,1,success,
facebook/react,REST,6510.964599903673,1669106,5,success,
kamranahmedse/developer-roadmap,GraphQL,1920.3228000551462,32143,1,success,
public-apis/public-apis,GraphQL,2110.1377999875695,25023,1,success,
tensorflow/tensorflow,REST,6185.76980009675,1440126,5,success,
facebook/jest,REST,7479.523500078358,930395,5,success,
donnemartin/system-design-primer,GraphQL,2434.2476999154314,34331,1,success,
pallets/flask,REST,5172.405300079845,499322,5,success,
twbs/bootstrap,REST,6687.189199961722,1683361,5,success,
996icu/996.ICU,REST,4995.509900036268,291170,5,success,
laravel/laravel,REST,5301.5314998338,264152,5,success,
facebook/react-native,REST,6484.456800040789,1653288,5,success,
huggingface/transformers,GraphQL,2364.0394000103697,35908,1,success,
golang/go,GraphQL,2148.6593999434263,37324,1,success,
github/gitignore,REST,7885.343299945816,1489919,5,success,
kubernetes/kubernetes,GraphQL,2283.4153999574482,40305,1,success,
flutter/flutter,GraphQL,2207.1950000245124,41169,1,success,
freeCodeCamp/freeCodeCamp,REST,6201.154700131156,1757225,5,success,
