repo,api_type,response_time_ms,response_size_bytes,num_requests,rate_limit_before,rate_limit_after,rate_limit_consumed,rate_limit_cost,rate_limit_reset_at,status,error_message
iptv-org/iptv,GraphQL,2100.354199996218,22874,1,4973,4972.0,1.0,1.0,2025-11-27T20:07:12Z,success,
practical-tutorials/project-based-learning,GraphQL,2088.1707000080496,21289,1,4972,4971.0,1.0,1.0,2025-11-27T20:07:12Z,success,
awesome-selfhosted/awesome-selfhosted,GraphQL,1993.7042000237852,9760,1,4971,4970.0,1.0,1.0,2025-11-27T20:07:12Z,success,
langgenius/dify,GraphQL,2413.7116000056267,26609,1,4970,4969.0,1.0,1.0,2025-11-27T20:07:12Z,success,
langflow-ai/langflow,GraphQL,2196.196599979885,25994,1,4969,4968.0,1.0,1.0,2025-11-27T20:07:12Z,success,
jwasham/coding-interview-university,REST,21746.342099912,784868,16,3535,3520.0,15.0,,1764271296,success,
open-webui/open-webui,REST,20129.859000007855,1919104,16,3520,3505.0,15.0,,1764271296,success,
justjavac/free-programming-books-zh_CN,GraphQL,2040.9411000146065,11735,1,4968,4967.0,1.0,1.0,2025-11-27T20:07:12Z,success,
airbnb/javascript,REST,22067.34249999863,1416567,16,3505,3490.0,15.0,,1764271296,success,
Chalarangelo/30-seconds-of-code,REST,7691.8863999599125,301076,6,3490,3485.0,5.0,,1764271296,success,
Snailclimb/JavaGuide,GraphQL,1997.371600009501,22783,1,4967,4966.0,1.0,1.0,2025-11-27T20:07:12Z,success,
Significant-Gravitas/AutoGPT,REST,21964.813600003254,2417044,16,3485,3470.0,15.0,,1764271296,success,
microsoft/TypeScript,GraphQL,2457.7747999865096,28580,1,4966,4965.0,1.0,1.0,2025-11-27T20:07:12Z,success,
fatedier/frp,REST,8922.405200020876,459999,7,3470,3464.0,6.0,,1764271296,success,
mrdoob/three.js,GraphQL,2590.0053000077605,25025,1,4965,4964.0,1.0,1.0,2025-11-27T20:07:12Z,success,
microsoft/vscode,REST,23046.144899970386,1850937,16,3464,3449.0,15.0,,1764271296,success,
Hack-with-Github/Awesome-Hacking,GraphQL,2175.8949999930337,14782,1,4964,4963.0,1.0,1.0,2025-11-27T20:07:12Z,success,
godotengine/godot,REST,22203.522500029067,1768873,16,3449,3434.0,15.0,,1764271296,success,
practical-tutorials/project-based-learning,REST,23107.737800077302,1639848,16,3434,3419.0,15.0,,1764271296,success,
yangshun/tech-interview-handbook,REST,22817.10709995241,664999,16,3419,3404.0,15.0,,1764271296,success,
996icu/996.ICU,GraphQL,1757.6961999875493,10396,1,4963,4962.0,1.0,1.0,2025-11-27T20:07:12Z,success,
